Database ID (database_id),CARRIERS ID (carriers_id),DNA Failed QC (caqc_fail),Sequencing Protocol (sub_seq_protocol),DNA Buffer (cast_buffer),Plate Barcode (cast_plate_barcode),Plate Location in Couch Lab (cast_plate_lab_location),Plate Coordinate (sub_plate_coordinate),Plate Volume (uL) (sub_plate_vol),Plate Concentration (ng/uL) (sub_plate_conc),Quibit Result (ng/uL) (caqc_qubit),Was stock sample modified (caqc_mod),Date Working Plate Created (cawk_plate_date),Working Plate Barcode (cawk_plate_barcode),Working Plate Coordinate (cawk_plate_coordinate),Working Plate Volume Water Added (uL) (cawk_plate_vol_water),Working Plate Volume Sample Added (uL) (cawk_plate_vol_stock),Working Plate Total Volume (uL) (cawk_plate_vol),Working Plate Final Concentration (ng/uL) (cawk_plate_conc),Working Plate Location in Couch Lab (cawk_plate_lab_location),Working Plate Complete (cawk_complete),Send sample to UPenn (caup_upenn)
18,CA00000018,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
19,CA00000019,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
20,CA00000020,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
21,CA00000021,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
22,CA00000022,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
23,CA00000023,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
24,CA00000024,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
25,CA00000025,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
26,CA00000026,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
27,CA00000027,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C03,10,50,,0,,,C03,,,,,,0,0
28,CA00000028,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C04,10,50,,0,,,C04,,,,,,0,0
29,CA00000029,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C05,10,50,,0,,,C05,,,,,,0,0
30,CA00000030,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C06,10,50,,0,,,C06,,,,,,0,0
31,CA00000031,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C07,10,50,,0,,,C07,,,,,,0,0
32,CA00000032,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C08,10,50,,0,,,C08,,,,,,0,0
33,CA00000033,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C09,10,50,,0,,,C09,,,,,,0,0
34,CA00000034,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C10,10,50,,0,,,C10,,,,,,0,0
35,CA00000035,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C11,10,50,,0,,,C11,,,,,,0,0
36,CA00000036,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,C12,10,50,,0,,,C12,,,,,,0,0
37,CA00000037,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D01,10,50,,0,,,D01,,,,,,0,0
38,CA00000038,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D02,10,50,,0,,,D02,,,,,,0,0
39,CA00000039,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D03,10,50,,0,,,D03,,,,,,0,0
40,CA00000040,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D04,10,50,,0,,,D04,,,,,,0,0
41,CA00000041,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D05,10,50,,0,,,D05,,,,,,0,0
42,CA00000042,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D06,10,50,,0,,,D06,,,,,,0,0
43,CA00000043,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D07,10,50,,0,,,D07,,,,,,0,0
44,CA00000044,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D08,10,50,,0,,,D08,,,,,,0,0
45,CA00000045,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D09,10,50,,0,,,D09,,,,,,0,0
46,CA00000046,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D10,10,50,,0,,,D10,,,,,,0,0
47,CA00000047,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D11,10,50,,0,,,D11,,,,,,0,0
48,CA00000048,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,D12,10,50,,0,,,D12,,,,,,0,0
49,CA00000049,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E01,10,50,,0,,,E01,,,,,,0,0
50,CA00000050,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E02,10,50,,0,,,E02,,,,,,0,0
51,CA00000051,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E03,10,50,,0,,,E03,,,,,,0,0
52,CA00000052,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E04,10,50,,0,,,E04,,,,,,0,0
53,CA00000053,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E05,10,50,,0,,,E05,,,,,,0,0
54,CA00000054,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E06,10,50,,0,,,E06,,,,,,0,0
55,CA00000055,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E07,10,50,,0,,,E07,,,,,,0,0
56,CA00000056,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E08,10,50,,0,,,E08,,,,,,0,0
57,CA00000057,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E09,10,50,,0,,,E09,,,,,,0,0
58,CA00000058,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E10,10,50,,0,,,E10,,,,,,0,0
59,CA00000059,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E11,10,50,,0,,,E11,,,,,,0,0
60,CA00000060,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,E12,10,50,,0,,,E12,,,,,,0,0
61,CA00000061,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F01,10,50,,0,,,F01,,,,,,0,0
62,CA00000062,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F02,10,50,,0,,,F02,,,,,,0,0
63,CA00000063,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F03,10,50,,0,,,F03,,,,,,0,0
64,CA00000064,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F04,10,50,,0,,,F04,,,,,,0,0
65,CA00000065,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F05,10,50,,0,,,F05,,,,,,0,0
66,CA00000066,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F06,10,50,,0,,,F06,,,,,,0,0
67,CA00000067,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F07,10,50,,0,,,F07,,,,,,0,0
68,CA00000068,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F08,10,50,,0,,,F08,,,,,,0,0
69,CA00000069,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F09,10,50,,0,,,F09,,,,,,0,0
70,CA00000070,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F10,10,50,,0,,,F10,,,,,,0,0
71,CA00000071,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F11,10,50,,0,,,F11,,,,,,0,0
72,CA00000072,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,F12,10,50,,0,,,F12,,,,,,0,0
73,CA00000073,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G01,10,50,,0,,,G01,,,,,,0,0
74,CA00000074,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G02,10,50,,0,,,G02,,,,,,0,0
75,CA00000075,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G03,10,50,,0,,,G03,,,,,,0,0
76,CA00000076,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G04,10,50,,0,,,G04,,,,,,0,0
77,CA00000077,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G05,10,50,,0,,,G05,,,,,,0,0
78,CA00000078,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G06,10,50,,0,,,G06,,,,,,0,0
79,CA00000079,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G07,10,50,,0,,,G07,,,,,,0,0
80,CA00000080,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G08,10,50,,0,,,G08,,,,,,0,0
81,CA00000081,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G09,10,50,,0,,,G09,,,,,,0,0
82,CA00000082,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G10,10,50,,0,,,G10,,,,,,0,0
83,CA00000083,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G11,10,50,,0,,,G11,,,,,,0,0
84,CA00000084,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,G12,10,50,,0,,,G12,,,,,,0,0
85,CA00000085,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H01,10,50,,0,,,H01,,,,,,0,0
86,CA00000086,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H02,10,50,,0,,,H02,,,,,,0,0
87,CA00000087,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H03,10,50,,0,,,H03,,,,,,0,0
88,CA00000088,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H04,10,50,,0,,,H04,,,,,,0,0
89,CA00000089,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H05,10,50,,0,,,H05,,,,,,0,0
90,CA00000090,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H06,10,50,,0,,,H06,,,,,,0,0
91,CA00000091,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H07,10,50,,0,,,H07,,,,,,0,0
92,CA00000092,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H08,10,50,,0,,,H08,,,,,,0,0
93,CA00000093,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H09,10,50,,0,,,H09,,,,,,0,0
94,CA00000094,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H10,10,50,,0,,,H10,,,,,,0,0
95,CA00000095,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,H11,10,50,,0,,,H11,,,,,,0,0
96,CA00000096,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A01,10,50,,0,,,A01,,,,,,0,0
97,CA00000097,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,A02,10,50,,0,,,A02,,,,,,0,0
98,CA00000098,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A03,10,50,,0,,,A03,,,,,,0,0
99,CA00000099,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A04,10,50,,0,,,A04,,,,,,0,0
100,CA00000100,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
101,CA00000101,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
102,CA00000102,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
103,CA00000103,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
104,CA00000104,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
105,CA00000105,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
106,CA00000106,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
107,CA00000107,,Qiagen,1XTE,CAST00000002,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
108,CA00000108,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
109,CA00000109,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
110,CA00000110,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
111,CA00000111,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
112,CA00000112,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
113,CA00000113,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
114,CA00000114,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
115,CA00000115,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
116,CA00000116,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
117,CA00000117,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
118,CA00000118,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
119,CA00000119,,Qiagen,1XTE,CAST00000002,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
120,CA00000120,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
121,CA00000121,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
122,CA00000122,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C03,10,50,,0,,,C03,,,,,,0,0
123,CA00000123,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C04,10,50,,0,,,C04,,,,,,0,0
124,CA00000124,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C05,10,50,,0,,,C05,,,,,,0,0
125,CA00000125,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C06,10,50,,0,,,C06,,,,,,0,0
126,CA00000126,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C07,10,50,,0,,,C07,,,,,,0,0
127,CA00000127,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C08,10,50,,0,,,C08,,,,,,0,0
128,CA00000128,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C09,10,50,,0,,,C09,,,,,,0,0
129,CA00000129,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C10,10,50,,0,,,C10,,,,,,0,0
130,CA00000130,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C11,10,50,,0,,,C11,,,,,,0,0
131,CA00000131,,Qiagen,1XTE,CAST00000002,cold room drawer 1,C12,10,50,,0,,,C12,,,,,,0,0
132,CA00000132,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D01,10,50,,0,,,D01,,,,,,0,0
133,CA00000133,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,D02,10,50,,0,,,D02,,,,,,0,0
134,CA00000134,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D03,10,50,,0,,,D03,,,,,,0,0
135,CA00000135,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D04,10,50,,0,,,D04,,,,,,0,0
136,CA00000136,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D05,10,50,,0,,,D05,,,,,,0,0
137,CA00000137,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D06,10,50,,0,,,D06,,,,,,0,0
138,CA00000138,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D07,10,50,,0,,,D07,,,,,,0,0
139,CA00000139,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D08,10,50,,0,,,D08,,,,,,0,0
140,CA00000140,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D09,10,50,,0,,,D09,,,,,,0,0
141,CA00000141,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D10,10,50,,0,,,D10,,,,,,0,0
142,CA00000142,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D11,10,50,,0,,,D11,,,,,,0,0
143,CA00000143,,Qiagen,1XTE,CAST00000002,cold room drawer 1,D12,10,50,,0,,,D12,,,,,,0,0
144,CA00000144,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E01,10,50,,0,,,E01,,,,,,0,0
145,CA00000145,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,E02,10,50,,0,,,E02,,,,,,0,0
146,CA00000146,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E03,10,50,,0,,,E03,,,,,,0,0
147,CA00000147,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E04,10,50,,0,,,E04,,,,,,0,0
148,CA00000148,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E05,10,50,,0,,,E05,,,,,,0,0
149,CA00000149,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E06,10,50,,0,,,E06,,,,,,0,0
150,CA00000150,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E07,10,50,,0,,,E07,,,,,,0,0
151,CA00000151,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E08,10,50,,0,,,E08,,,,,,0,0
152,CA00000152,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E09,10,50,,0,,,E09,,,,,,0,0
153,CA00000153,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E10,10,50,,0,,,E10,,,,,,0,0
154,CA00000154,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E11,10,50,,0,,,E11,,,,,,0,0
155,CA00000155,,Qiagen,1XTE,CAST00000002,cold room drawer 1,E12,10,50,,0,,,E12,,,,,,0,0
156,CA00000156,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F01,10,50,,0,,,F01,,,,,,0,0
157,CA00000157,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F02,10,50,,0,,,F02,,,,,,0,0
158,CA00000158,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F03,10,50,,0,,,F03,,,,,,0,0
159,CA00000159,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F04,10,50,,0,,,F04,,,,,,0,0
160,CA00000160,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F05,10,50,,0,,,F05,,,,,,0,0
161,CA00000161,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F06,10,50,,0,,,F06,,,,,,0,0
162,CA00000162,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F07,10,50,,0,,,F07,,,,,,0,0
163,CA00000163,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F08,10,50,,0,,,F08,,,,,,0,0
164,CA00000164,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F09,10,50,,0,,,F09,,,,,,0,0
165,CA00000165,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F10,10,50,,0,,,F10,,,,,,0,0
166,CA00000166,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F11,10,50,,0,,,F11,,,,,,0,0
167,CA00000167,,Qiagen,1XTE,CAST00000002,cold room drawer 1,F12,10,50,,0,,,F12,,,,,,0,0
168,CA00000168,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G01,10,50,,0,,,G01,,,,,,0,0
169,CA00000169,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G02,10,50,,0,,,G02,,,,,,0,0
170,CA00000170,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G03,10,50,,0,,,G03,,,,,,0,0
171,CA00000171,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G04,10,50,,0,,,G04,,,,,,0,0
172,CA00000172,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G05,10,50,,0,,,G05,,,,,,0,0
173,CA00000173,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G06,10,50,,0,,,G06,,,,,,0,0
174,CA00000174,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G07,10,50,,0,,,G07,,,,,,0,0
175,CA00000175,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G08,10,50,,0,,,G08,,,,,,0,0
176,CA00000176,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G09,10,50,,0,,,G09,,,,,,0,0
177,CA00000177,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G10,10,50,,0,,,G10,,,,,,0,0
178,CA00000178,,Qiagen,1XTE,CAST00000002,cold room drawer 1,G11,10,50,,0,,,G11,,,,,,0,0
179,CA00000179,0,Qiagen,1XTE,CAST00000002,cold room drawer 1,G12,10,50,,0,,,G12,,,,,,0,0
180,CA00000180,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H01,10,50,,0,,,H01,,,,,,0,0
181,CA00000181,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H02,10,50,,0,,,H02,,,,,,0,0
182,CA00000182,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H03,10,50,,0,,,H03,,,,,,0,0
183,CA00000183,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H04,10,50,,0,,,H04,,,,,,0,0
184,CA00000184,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H05,10,50,,0,,,H05,,,,,,0,0
185,CA00000185,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H06,10,50,,0,,,H06,,,,,,0,0
186,CA00000186,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H07,10,50,,0,,,H07,,,,,,0,0
187,CA00000187,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H08,10,50,,0,,,H08,,,,,,0,0
188,CA00000188,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H09,10,50,,0,,,H09,,,,,,0,0
189,CA00000189,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H10,10,50,,0,,,H10,,,,,,0,0
190,CA00000190,,Qiagen,1XTE,CAST00000002,cold room drawer 1,H11,10,50,,0,,,H11,,,,,,0,0
191,CA00000191,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A01,10,50,,0,,,A01,,,,,,0,0
192,CA00000192,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A02,10,50,,0,,,A02,,,,,,0,0
193,CA00000193,0,Qiagen,1XTE,CAST00000003,cold room drawer 1,A03,10,50,,0,,,A03,,,,,,0,0
194,CA00000194,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A04,10,50,,0,,,A04,,,,,,0,0
195,CA00000195,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
196,CA00000196,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
197,CA00000197,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
198,CA00000198,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
199,CA00000199,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
200,CA00000200,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
201,CA00000201,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
202,CA00000202,,Qiagen,1XTE,CAST00000003,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
203,CA00000203,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
204,CA00000204,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
205,CA00000205,0,Qiagen,1XTE,CAST00000003,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
206,CA00000206,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
207,CA00000207,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
208,CA00000208,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
209,CA00000209,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
210,CA00000210,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
211,CA00000211,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
212,CA00000212,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
213,CA00000213,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
214,CA00000214,,Qiagen,1XTE,CAST00000003,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
215,CA00000215,,Qiagen,1XTE,CAST00000003,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
216,CA00000216,,Qiagen,1XTE,CAST00000003,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
